order_id,device_id,poll_events_3m_beforeOCT,poll_events_3m_afterOCT,poll_events_1h_beforeOCT,typesOf_status_codes_3m_beforeOCT,typesOf_status_codes_3m_afterOCT,typesOf_status_codes_1h_beforeOCT,typesOf_error_codes_3m_beforeOCT,typesOf_error_codes_3m_afterOCT,typesOf_error_codes_1h_beforeOCT,ok_responses_3m_beforeOCT,ok_responses_3m_afterOCT,ok_responses_1h_beforeOCT,order_creation_time,immed_preceding_polling_event_CT,immed_following_polling_event_CT,most_recent_conn_status,most_recent_conn_status_time
102458819,d0bc996f-72d2-4ec2-8f40-d82d81120862,96,114,1620,1,1,2,0,0,1,96,114,1596,2020-02-26T00:53:46.000+01:00,2020-02-26 00:00:02,2020-02-26 00:53:55,ONLINE,2020-02-26 00:44:18
102472764,d0bc996f-72d2-4ec2-8f40-d82d81120862,12,72,678,1,1,2,0,0,1,12,72,642,2020-02-26T03:10:38.000+01:00,2020-02-26 00:00:02,2020-02-26 03:11:23,ONLINE,2020-02-26 00:44:18
102490190,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,272,1,1,1,0,0,0,88,88,272,2020-02-26T10:12:38.000+01:00,2020-02-26 00:00:09,2020-02-26 10:12:45,ONLINE,2020-02-26 03:17:43
102498272,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1560,1,1,2,0,0,1,88,88,1552,2020-02-26T11:15:45.000+01:00,2020-02-26 00:00:09,2020-02-26 11:15:49,ONLINE,2020-02-26 03:17:43
102498531,e7d50744-08f1-4718-bab2-c2a49221a8c9,44,48,240,1,1,2,0,0,1,44,48,236,2020-02-26T11:17:07.000+01:00,2020-02-26 11:00:13,2020-02-26 11:17:22,ONLINE,2020-02-26 10:48:40
102500116,82fb1d95-c894-4499-825e-8774d0247087,48,48,896,1,1,1,0,0,0,48,48,896,2020-02-26T11:27:23.000+01:00,2020-02-26 10:13:36,2020-02-26 11:27:39,ONLINE,2020-02-26 09:29:17
102500866,82fb1d95-c894-4499-825e-8774d0247087,48,48,892,1,1,1,0,0,0,48,48,892,2020-02-26T11:32:06.000+01:00,2020-02-26 10:13:36,2020-02-26 11:32:21,ONLINE,2020-02-26 09:29:17
102503319,f4a61767-a1a3-4b81-9994-28fdaf379498,66,12,648,1,1,2,0,0,1,66,12,642,2020-02-26T11:50:22.000+01:00,2020-02-26 00:00:03,2020-02-26 11:50:26,ONLINE,2020-02-26 11:20:51
102504820,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1736,1,1,1,0,0,0,88,88,1736,2020-02-26T11:57:15.000+01:00,2020-02-26 00:00:09,2020-02-26 11:57:24,ONLINE,2020-02-26 03:17:43
102507696,4a771d87-1cc3-4531-a671-9a2ae14628f0,88,88,1744,1,1,1,0,0,0,88,88,1744,2020-02-26T12:10:56.000+01:00,2020-02-26 00:00:09,2020-02-26 12:11:09,ONLINE,2020-02-26 03:17:43
102509003,75f4361b-fdf3-40f9-a9f0-358e5a04951f,242,264,5016,1,1,2,0,0,1,242,264,4994,2020-02-26T12:17:46.000+01:00,2020-02-26 11:11:36,2020-02-26 12:17:54,ONLINE,2020-02-26 11:49:11
102509618,82fb1d95-c894-4499-825e-8774d0247087,48,44,904,1,1,1,0,0,0,48,44,904,2020-02-26T12:22:32.000+01:00,2020-02-26 10:13:36,2020-02-26 12:22:43,ONLINE,2020-02-26 09:29:17
102509879,1fd7aa1c-06c2-4dd7-bc01-4de03a7694cc,96,88,464,1,1,2,0,0,1,96,88,456,2020-02-26T12:21:30.000+01:00,2020-02-26 12:03:16,2020-02-26 12:21:45,ONLINE,2020-02-26 12:07:47
102510286,82fb1d95-c894-4499-825e-8774d0247087,48,48,904,1,1,1,0,0,0,48,48,904,2020-02-26T12:26:11.000+01:00,2020-02-26 10:13:36,2020-02-26 12:26:19,ONLINE,2020-02-26 09:29:17
102515420,f4a61767-a1a3-4b81-9994-28fdaf379498,60,72,1242,1,1,1,0,0,0,60,72,1242,2020-02-26T12:49:05.000+01:00,2020-02-26 00:00:03,2020-02-26 12:49:15,ONLINE,2020-02-26 11:20:51
102516871,ea6991c2-0bb6-42f9-9ebf-81309e17f2d9,192,176,2912,1,1,1,0,0,0,192,176,2912,2020-02-26T12:56:30.000+01:00,2020-02-26 11:02:30,2020-02-26 12:56:44,ONLINE,2020-02-26 11:38:44
102518958,a8d153dc-2294-4446-b190-78dd8c306e74,22,22,344,1,1,2,0,0,1,22,22,326,2020-02-26T13:07:10.000+01:00,2020-02-26 00:21:52,2020-02-26 13:07:23,ONLINE,2020-02-26 11:30:12
102519771,ea6991c2-0bb6-42f9-9ebf-81309e17f2d9,176,192,3648,1,1,1,0,0,0,176,192,3648,2020-02-26T13:10:48.000+01:00,2020-02-26 11:02:30,2020-02-26 13:10:51,ONLINE,2020-02-26 11:38:44
102520111,1cdc8ef5-3752-4200-8b84-3a1df38b195f,22,22,426,1,1,2,0,0,1,22,22,424,2020-02-26T13:17:45.000+01:00,2020-02-26 00:00:12,2020-02-26 13:17:54,ONLINE,2020-02-26 13:00:16
102521678,ea6991c2-0bb6-42f9-9ebf-81309e17f2d9,192,176,3680,1,1,1,0,0,0,192,176,3680,2020-02-26T13:23:45.000+01:00,2020-02-26 11:02:30,2020-02-26 13:23:59,ONLINE,2020-02-26 11:38:44
102521958,1cdc8ef5-3752-4200-8b84-3a1df38b195f,22,22,426,1,1,2,0,0,1,22,22,424,2020-02-26T13:21:43.000+01:00,2020-02-26 00:00:12,2020-02-26 13:21:53,ONLINE,2020-02-26 13:00:16
102527988,82fb1d95-c894-4499-825e-8774d0247087,44,48,840,1,1,1,0,0,0,44,48,840,2020-02-26T13:53:06.000+01:00,2020-02-26 10:13:36,2020-02-26 13:53:16,ONLINE,2020-02-26 09:29:17
